
SetupTitle, VanDerPauw Square
DataValue, 0.00037999999999999997, 2.03049, 1.8734119999999999, 0.15707800000000005, 1873.5103111690933
DataValue, 0.00039, 2.0829519999999997, 1.921806, 0.16114599999999979, 1872.7475781163205
DataValue, 0.00039999999999999996, 2.137492, 1.9720959999999999, 0.1653960000000001, 1874.0852051516908
DataValue, 0.00041, 2.1901539999999997, 2.020584, 0.16956999999999978, 1874.5174374557769
DataValue, 0.00041999999999999996, 2.24264, 2.06899, 0.1736500000000003, 1873.914702115163
DataValue, 0.00043, 2.297155, 2.119256, 0.17789900000000003, 1875.1213235452981
DataValue, 0.00043999999999999996, 2.34974, 2.167652, 0.18208800000000025, 1875.6550495651281
DataValue, 0.00045, 2.402285, 2.2161250000000003, 0.18615999999999966, 1874.9866410368
DataValue, 0.00045999999999999996, 2.4567750000000004, 2.2663200000000003, 0.19045500000000004, 1876.5445026648304
DataValue, 0.00047, 2.50923, 2.3147200000000003, 0.19450999999999974, 1875.721676122012
DataValue, 0.00047999999999999996, 2.5564400000000003, 2.3581800000000004, 0.19825999999999988, 1872.0531974441833
DataValue, 0.00049, 2.556455, 2.3581600000000003, 0.19829499999999989, 1834.1717700921822
DataValue, 0.0005, 2.55643, 2.35813, 0.19830000000000014, 1797.5336582823297
DataValue, 0.00050999999999999993, 2.5564150000000003, 2.35812, 0.19829500000000033, 1762.243465382689
DataValue, 0.00052, 2.5564, 2.358095, 0.19830499999999995, 1728.4413287253051
DataValue, 0.00053, 2.5563800000000003, 2.3581600000000003, 0.19822000000000006, 1695.1023403872696
DataValue, 0.00054, 2.55643, 2.3581450000000004, 0.19828499999999982, 1664.2571180614445
DataValue, 0.00054999999999999992, 2.55642, 2.3581350000000003, 0.19828499999999982, 1633.9978977330547
DataValue, 0.00056, 2.5564150000000003, 2.358115, 0.19830000000000014, 1604.9407663235088
DataValue, 0.00057, 2.5564, 2.3581350000000003, 0.19826499999999969, 1576.505608016143
DataValue, 0.00058, 2.5563900000000004, 2.358105, 0.19828500000000027, 1549.4807650916932
DataValue, 0.00058999999999999992, 2.5564, 2.358105, 0.19829499999999989, 1523.2951988901177
DataValue, 0.0006, 2.556395, 2.3581250000000002, 0.19826999999999995, 1497.7180972753286
DataValue, 0.00061, 2.5564250000000004, 2.3581000000000003, 0.19832500000000009, 1473.5739969198969
DataValue, 0.00062, 2.55641, 2.35814, 0.19826999999999995, 1449.404610266447
DataValue, 0.00062999999999999992, 2.5564250000000004, 2.35813, 0.19829500000000033, 1426.5780434050339
DataValue, 0.00063999999999999994, 2.556385, 2.35812, 0.19826500000000014, 1404.0753071393806
DataValue, 0.00065, 2.55641, 2.3581350000000003, 0.19827499999999976, 1382.5438771710628
DataValue, 0.00066, 2.5564400000000003, 2.35812, 0.19832000000000027, 1361.9052671593083
DataValue, 0.00067, 2.55641, 2.35814, 0.19826999999999995, 1341.2400871122345
DataValue, 0.00067999999999999994, 2.55643, 2.3581700000000003, 0.19825999999999988, 1321.4493158429527
DataValue, 0.00069, 2.5563900000000004, 2.358115, 0.1982750000000002, 1302.3964060307142
DataValue, 0.0007, 2.55641, 2.35813, 0.19828, 1283.8231170816948
DataValue, 0.00071, 2.55642, 2.35813, 0.19829000000000008, 1265.8049373932051
DataValue, 0.00071999999999999994, 2.556395, 2.3581100000000004, 0.19828499999999982, 1248.1928385460833
DataValue, 0.00073, 2.5564050000000003, 2.3581450000000004, 0.19825999999999988, 1230.9390887304219
DataValue, 0.00074, 2.5564150000000003, 2.3581450000000004, 0.19826999999999995, 1214.3660248178339
DataValue, 0.00075, 2.5564150000000003, 2.35812, 0.19829500000000033, 1198.3255564602284
DataValue, 0.00075999999999999993, 2.5563900000000004, 2.3581000000000003, 0.19829000000000008, 1182.5282967752314
DataValue, 0.00077, 2.556385, 2.3581250000000002, 0.19825999999999988, 1166.9942010041661
DataValue, 0.00078, 2.5564150000000003, 2.35812, 0.19829500000000033, 1152.2361119809889
DataValue, 0.00079, 2.5563800000000003, 2.358105, 0.1982750000000002, 1137.5361014698642
DataValue, 0.00079999999999999993, 2.556435, 2.3581450000000004, 0.19828999999999963, 1123.4018819364671
DataValue, 0.00081, 2.55642, 2.358085, 0.19833500000000015, 1109.7845206334894
DataValue, 0.00082, 2.55642, 2.3580750000000004, 0.19834499999999977, 1096.3058357379434
DataValue, 0.00083, 2.5563700000000003, 2.35807, 0.19830000000000014, 1082.8516013748974
DataValue, 0.00083999999999999993, 2.556375, 2.35813, 0.198245, 1069.663749268125
DataValue, 0.00085, 2.5564, 2.3581100000000004, 0.19828999999999963, 1057.3194182931454
DataValue, 0.00086, 2.5564150000000003, 2.3581100000000004, 0.19830499999999995, 1045.1040592292541
DataValue, 0.00087, 2.556375, 2.3581000000000003, 0.19827499999999976, 1032.9350806450468
DataValue, 0.00087999999999999992, 2.5563800000000003, 2.358095, 0.19828500000000027, 1021.2486860831615
DataValue, 0.00089, 2.55641, 2.358105, 0.19830499999999995, 1009.8758325136613
DataValue, 0.0009, 2.5564250000000004, 2.358095, 0.19833000000000034, 998.78088879681411
DataValue, 0.00091, 2.556385, 2.358105, 0.19828, 987.55624390899607
DataValue, 0.00091999999999999992, 2.55641, 2.35808, 0.1983299999999999, 977.06826077949
DataValue, 0.00092999999999999995, 2.556375, 2.358105, 0.19826999999999995, 966.26974017763143
DataValue, 0.00094, 2.556395, 2.3581250000000002, 0.19826999999999995, 955.99027485659269
DataValue, 0.00095, 2.55643, 2.358115, 0.19831500000000002, 946.14191003068186
DataValue, 0.00095999999999999992, 2.5564, 2.35814, 0.19825999999999988, 936.02659872209165
DataValue, 0.00096999999999999994, 2.55641, 2.35813, 0.19828, 926.4702906775118
DataValue, 0.00098, 2.55642, 2.3580900000000002, 0.1983299999999999, 917.24775501748024
DataValue, 0.00099, 2.5564050000000003, 2.35813, 0.1982750000000002, 907.73082844564919
DataValue, 0.001, 2.5563800000000003, 2.3581000000000003, 0.19828, 898.67618195718637
DataValue, 0.00101, 2.5563800000000003, 2.35814, 0.19824000000000019, 889.59889860319936
DataValue, 0.0010199999999999999, 2.55641, 2.35812, 0.19829000000000008, 881.09951524428993
DataValue, 0.0010299999999999999, 2.55641, 2.358105, 0.19830499999999995, 872.61115624966862
DataValue, 0.00104, 2.55641, 2.3581350000000003, 0.19827499999999976, 864.08992323191433
DataValue, 0.00105, 2.5564050000000003, 2.3581100000000004, 0.19829499999999989, 855.9468260430184
DataValue, 0.00106, 2.556385, 2.358085, 0.19830000000000014, 847.89323503883486
DataValue, 0.00107, 2.5563700000000003, 2.358105, 0.19826500000000014, 839.82074445719957
DataValue, 0.00108, 2.556375, 2.3581250000000002, 0.19824999999999982, 831.9816770196469
DataValue, 0.00109, 2.5564050000000003, 2.358095, 0.19831000000000021, 824.59830525977452
DataValue, 0.0010999999999999999, 2.55641, 2.3581250000000002, 0.19828499999999982, 816.99894886652737
DataValue, 0.0011099999999999999, 2.5563900000000004, 2.3581000000000003, 0.19829000000000008, 809.65901400826647
DataValue, 0.00112, 2.556375, 2.358095, 0.19828, 802.38944817605932
DataValue, 0.00113, 2.556395, 2.35813, 0.19826500000000014, 795.22849253911818
DataValue, 0.00114, 2.5563900000000004, 2.35807, 0.19832000000000027, 788.4714704606522
DataValue, 0.00115, 2.5564250000000004, 2.3581250000000002, 0.19830000000000014, 781.53637316623031
DataValue, 0.00116, 2.556375, 2.35812, 0.19825500000000007, 774.62316635966749
DataValue, 0.00117, 2.556365, 2.3581100000000004, 0.19825499999999963, 768.00245553607874
DataValue, 0.0011799999999999998, 2.5564050000000003, 2.358115, 0.19829000000000008, 761.62839453319975
DataValue, 0.0011899999999999999, 2.5564, 2.3581000000000003, 0.1982999999999997, 755.26624297576723
DataValue, 0.0012, 2.55641, 2.35812, 0.19829000000000008, 748.9345879576465
DataValue, 0.00121, 2.556395, 2.3581100000000004, 0.19828499999999982, 742.72631715138846
DataValue, 0.00122, 2.556395, 2.358095, 0.19830000000000014, 736.69412224685652
DataValue, 0.00123, 2.5564050000000003, 2.358105, 0.19830000000000014, 730.70473913915851
DataValue, 0.00124, 2.5564150000000003, 2.358095, 0.19832000000000027, 724.885061552535
DataValue, 0.00125, 2.5563550000000004, 2.3581000000000003, 0.19825500000000007, 718.85029838177138
DataValue, 0.0012599999999999998, 2.5564, 2.35813, 0.19826999999999995, 713.19909394063268
DataValue, 0.0012699999999999999, 2.55642, 2.3581100000000004, 0.19830999999999976, 707.72610451429307
DataValue, 0.0012799999999999999, 2.55641, 2.358105, 0.19830499999999995, 702.17928979465512
DataValue, 0.00129, 2.5564, 2.3581350000000003, 0.19826499999999969, 696.59550121643531
DataValue, 0.0013, 2.5564150000000003, 2.35813, 0.19828500000000027, 691.3068028870631
DataValue, 0.00131, 2.556465, 2.3581450000000004, 0.19831999999999983, 686.15074528636751
DataValue, 0.00132, 2.55643, 2.35815, 0.19828, 680.81528936150482
DataValue, 0.00133, 2.5564050000000003, 2.3581350000000003, 0.19826999999999995, 675.66229952270464
DataValue, 0.00134, 2.5564050000000003, 2.3581000000000003, 0.19830499999999995, 670.73842607250629
DataValue, 0.0013499999999999999, 2.556385, 2.3581100000000004, 0.19827499999999976, 665.66927419347473
DataValue, 0.0013599999999999999, 2.55643, 2.3581250000000002, 0.19830499999999995, 660.87462568908722
DataValue, 0.00137, 2.5564050000000003, 2.3581250000000002, 0.19828, 655.96801602714345
DataValue, 0.00138, 2.5564150000000003, 2.35812, 0.19829500000000033, 651.263889380559
DataValue, 0.00139, 2.5564250000000004, 2.3581000000000003, 0.19832500000000009, 646.67635836053034
DataValue, 0.0014, 2.5564500000000003, 2.35814, 0.19831000000000021, 642.00868052368151
DataValue, 0.00141, 2.556395, 2.358115, 0.19828, 637.358994295877
DataValue, 0.00142, 2.5564, 2.35812, 0.19828, 632.87055067407493
DataValue, 0.0014299999999999999, 2.5564150000000003, 2.3581350000000003, 0.19828, 628.44488248754294
DataValue, 0.0014399999999999999, 2.5563800000000003, 2.358155, 0.19822500000000032, 623.90757097308926
DataValue, 0.00145, 2.556445, 2.358105, 0.19833999999999996, 619.964223109738
DataValue, 0.00146, 2.556395, 2.3581450000000004, 0.19824999999999982, 615.43850080905383
DataValue, 0.00147, 2.55643, 2.3581250000000002, 0.19830499999999995, 611.42142240623025
DataValue, 0.00148, 2.5564, 2.35814, 0.19825999999999988, 607.15238836027549
DataValue, 0.00149, 2.5564150000000003, 2.3581450000000004, 0.19826999999999995, 603.10795863436056
DataValue, 0.0015, 2.5564400000000003, 2.3581250000000002, 0.19831500000000002, 599.22320968609847
DataValue, 0.0015099999999999998, 2.5564050000000003, 2.3581450000000004, 0.19825999999999988, 595.08975812795234
DataValue, 0.0015199999999999999, 2.556435, 2.3581800000000004, 0.19825499999999963, 591.15978485342907
DataValue, 0.00153, 2.55643, 2.358155, 0.1982750000000002, 587.35524193542017
DataValue, 0.00154, 2.556455, 2.35813, 0.19832500000000009, 583.68840137736174
DataValue, 0.00155, 2.5564400000000003, 2.35815, 0.19829000000000008, 579.82032616075844
DataValue, 0.00156, 2.556455, 2.358155, 0.19830000000000014, 576.13258278279807
DataValue, 0.00157, 2.5564250000000004, 2.3581450000000004, 0.19828, 572.40521143769831
DataValue, 0.00158, 2.55641, 2.35813, 0.19828, 568.78239364378885
DataValue, 0.0015899999999999998, 2.55642, 2.3581350000000003, 0.19828499999999982, 565.21939858690575
DataValue, 0.0015999999999999999, 2.556395, 2.358105, 0.19829000000000008, 561.70094096823482
DataValue, 0.0016099999999999999, 2.5564400000000003, 2.358115, 0.19832500000000009, 558.31064479573729
DataValue, 0.00162, 2.5564400000000003, 2.35815, 0.19829000000000008, 554.76636145010843
DataValue, 0.00163, 2.55643, 2.3581100000000004, 0.19831999999999983, 551.44630449395186
DataValue, 0.00164, 2.5564050000000003, 2.35813, 0.1982750000000002, 547.95946351292241
DataValue, 0.00165, 2.55641, 2.3581250000000002, 0.19828499999999982, 544.66596591101825
DataValue, 0.00166, 2.55643, 2.35814, 0.19829000000000008, 541.39849731878053
DataValue, 0.0016699999999999998, 2.556435, 2.3581350000000003, 0.1982999999999997, 538.18373002464853
